,Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Company,Status,Latitude,Approximate Volume Released (m3),Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program,Longitude,Release of substance,Alberta,Manitoba,British Columbia,Saskatchewan,Ontario,New Brunswick,Nova Scotia,Quebec,Northwest Territories,Natural,Unknown Land,Forests,Industrial,Agricultural Cropland,Shrub Land,Vegetative Barren,Tundra / Native Prairie / Parks,Barren Land,Small Commeicial,Water / Wetlands,Residential,Frost heave,Freeze-thaw,Frozen components,Soil/Slope,High winds,Rains/Floods,Adverse weather,Month of occurrence,Spring,Summer,Fall,Winter
10,INC2008-030,Fatality,3/24/2008,Kerrobert,Enbridge Pipelines Inc.,Closed,51.92095,0,Not Applicable,Not Applicable,Yes,2008,2008-03-24,2008/03/24 09:50:00 AM Mountain,,Transmission,Maintenance,Employee / Contractor (Onsite),12/15/2010,No,No,,,,No,,,Construction,1,,,,,,,0,OPR,Line 4,"1219.00000000, 864.00000000, 914.00000000",1248.909872,Crude Oil,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-109.17023,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
11,INC2008-037,Release of Substance,4/18/2008,Kenora,TransCanada PipeLines Limited,Closed,49.80823,0,Natural Gas - Sweet,Gas,No,2008,2008-04-16,2008/04/16 02:30:00 PM Eastern,,,Maintenance,Employee / Contractor (Onsite),7/27/2012,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,Mainline Valve + Offset (km) 50-2,Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Nipple, Thread",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Replacement,,No,,,No,No,,Replacement,No,-94.18954,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
12,INC2008-039,Release of Substance,4/21/2008,Regina,"Plains Marketing Canada, L.P.",Closed,50.48057,4,Crude Oil - Sweet,Liquid,No,2008,2008-04-21,2008/04/21 07:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Crude Oil - Sweet,4,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,Legal Subdivision NW-33-17-19 W2,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-104.56646,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
13,INC2008-040,Release of Substance,4/25/2008,Charlie Lake,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.27973,0,Natural Gas - Sour,Gas,Yes,2008,2008-04-24,2008/04/24 07:00:00 PM Pacific,,,Operation,Employee / Contractor (Onsite),1/19/2011,Yes,No,Natural Gas - Sour,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,Kilometer Post 24.5,Level I,Standard Review - 168 days,No,,"Pipeline, Fitting, Nipple, Body",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Replacement,4/24/2008,No,,,No,No,4/24/2008,Replacement,No,-120.96341,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
14,INC2008-041,Release of Substance,4/25/2008,Chetwynd,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.33867,0,Natural Gas - Sour,Gas,Yes,2008,2008-04-15,2008/04/15 12:00:00 PM Pacific,,,Maintenance,Employee / Contractor (Onsite),8/15/2012,Yes,No,Natural Gas - Sour,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,0,Kilometer Post 12,Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Ball, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Replacement,,No,,,No,No,,Replacement,No,-121.87115,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
15,INC2008-043,Fire,5/1/2008,Cromer,Enbridge Pipelines Inc.,Closed,49.73115,0,Not Applicable,Not Applicable,No,2008,2008-05-01,2008/05/01 02:00:00 PM Mountain,,,Maintenance,Employee / Contractor (Onsite),7/23/2012,No,No,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,EPI - Cromer Terminal,,,,,,,,Canada,Yes,No,No,No,0,Mile Post 595.8,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-101.2355,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
16,INC2008-045,Release of Substance,5/6/2008,Herschel,Enbridge Pipelines Inc.,Closed,51.63826,9.4,Crude Oil - Sweet,Liquid,No,2008,2008-05-06,2008/05/06 11:45:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Crude Oil - Sweet,9.4,No,No,,,,,,,,,,,0,OPR,EPI - Herschel Pump Station,,,,,,,,Canada,Yes,No,No,No,0,Mile Post 257,Level I,Standard Review - 168 days,No,,"Station/Facility, Pumping, Piping",,NPS 3/4,,,,,,,0,,,,,,,,,,,,,,,,,,No,Replacement,,No,,,No,No,,Replacement,No,-108.3544,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
17,INC2008-048,Release of Substance,5/12/2008,Regina,Enbridge Pipelines Inc.,Closed,50.48386,7,Crude Oil - Sweet,Liquid,No,2008,2008-05-11,2008/05/11 11:30:00 PM Mountain,,,Operation,Employee / Contractor (Onsite),8/10/2011,Yes,No,Crude Oil - Sweet,7,No,No,,,,,,,,,,,0,OPR,EPI - Regina Terminal,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Receiving, Valve, Pressure relief, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Replacement,5/12/2008,No,,,No,No,5/12/2008,Replacement,No,-104.61447,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
18,INC2008-052,Fire,5/21/2008,Emerson,TransCanada PipeLines Limited,Closed,49.00106,0,Not Applicable,Not Applicable,No,2008,2008-05-18,2008/05/18 01:35:00 PM Mountain,,,Operation,Employee / Contractor (Onsite),3/27/2009,Yes,No,,,,No,,Under Investigation or Unknown,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Auxiliary power unit",,,,,,,,,0,,,,,,,,,,,,,,,,,,No,Replacement,,No,,,No,No,,Replacement,No,-97.05547,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
19,INC2008-055,Adverse Environmental Effects,5/31/2008,Fort St. John,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.47564,0,Not Applicable,Not Applicable,Yes,2008,2008-05-31,2008/05/31 01:15:00 PM Mountain,,,Operation,3rd Party / Other Company,11/13/2012,No,No,,,,No,,,,,,,,,,Release of Toxic Substance,0,OPR,,,,,,,,,Canada,Yes,Yes,No,No,3,Kilometer Post,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-120.37265,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
20,INC2008-056,Release of Substance,6/5/2008,Edmonton,Enbridge Pipelines Inc.,Closed,53.5431,8,Crude Oil - Sweet,Liquid,No,2008,2008-06-05,2008/06/05 07:20:00 PM Mountain,,,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Crude Oil - Sweet,8,No,No,,,,,,,,,,,0,OPR,EPI - Edmonton Terminal,,,,,,,,Canada,Yes,No,No,No,3,Mile Post 0,Level I,Standard Review - 168 days,No,,"Storage, Tank, Aboveground",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Removal,6/5/2008,No,,,No,No,6/5/2008,Repair,No,-113.35401,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
21,INC2008-057,Release of Substance,6/6/2008,Maple,TransCanada PipeLines Limited,Closed,43.87378,270,Natural Gas - Sweet,Gas,No,2008,2008-06-06,2008/06/06 11:23:00 AM Eastern,,,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Natural Gas - Sweet,270,No,No,,,,,,,,,,,0,OPR,TCPL - Station 130 (Maple Compressor Station),,,,,,,,Canada,Yes,No,No,No,3,Kilometer Post,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-79.57985,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
22,INC2008-058,Adverse Environmental Effects,6/9/2008,Not specified,Emera Brunswick Pipeline Company Ltd.,Closed,45.21594,0,Not Applicable,Not Applicable,Yes,2008,2008-06-09,2008/06/09 03:20:00 PM Atlantic,,,Construction,Employee / Contractor (Onsite),7/27/2012,Yes,No,,,,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,No,Yes,0,Kilometer Post 141+765,Level I,Standard Review - 168 days,No,,Vehicle / mobile equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-66.71029,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
23,INC2008-060,Release of Substance,6/12/2008,Portage La Prairie,TransCanada PipeLines Limited,Closed,49.91204,0,Natural Gas - Sweet,Gas,No,2008,2008-06-12,2008/06/12 05:20:00 AM Central,,,Operation,Public,7/15/2015,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Valve, Pressure relief, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Rebuilt,6/12/2008,No,,,No,No,6/12/2008,Repair,No,-98.51757,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
24,INC2008-062,Fire,6/24/2008,Moyie,TransCanada PipeLines Limited,Closed,49.28795,0,Not Applicable,Not Applicable,No,2008,2008-06-23,2008/06/23 08:06:00 PM Pacific,,,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,"TCPL, BC - Station 2B (Moyie Compressor Station)",,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Compressor",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Replacement,,No,,,No,No,,Replacement,No,-115.83383,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
25,INC2008-063,Fatality,6/25/2008,Herschel,Enbridge Pipelines Inc.,Closed,51.63833,0,Not Applicable,Not Applicable,Yes,2008,2008-06-24,2008/06/24 04:30:00 PM Mountain,,,Construction,Employee / Contractor (Onsite),12/15/2010,No,No,,,,No,,,Vehicle Accident,1,,,,,,,0,OPR,Hershel Sask,,,,,,,,Canada,No,Yes,No,Yes,0,,Level III,Category C,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No,-108.35487,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
26,INC2008-067,Release of Substance,7/6/2008,Edmonton,Enbridge Pipelines Inc.,Closed,53.54745,40,Crude Oil - Synthetic,Liquid,No,2008,2008-07-06,2008/07/06 09:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Crude Oil - Synthetic,40,No,No,,,,,,,,,,,0,OPR,Edmonton Terminal,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Storage, Tank, Aboveground",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Removal,,No,,,No,No,,Repair,No,-113.35577,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
27,INC2008-070,Release of Substance,7/17/2008,Moosomin,TransCanada PipeLines Limited,Closed,50.20731,0,Natural Gas - Sweet,Gas,No,2008,2008-07-16,2008/07/16 09:40:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,TCPL - Station 25 (Moosomin Compressor Station),,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Compressor",,NPS 3/8,Carbon Steel,,,,,,0,,,,0,,,,,,,,,,,,,,No,Replacement,7/16/2008,No,,,No,No,7/16/2008,Replacement,No,-101.48747,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
28,INC2008-072,Release of Substance,7/18/2008,Alameda,Alliance Pipeline Ltd.,Closed,49.31834,800,Natural Gas - Sweet,Gas,No,2008,2008-07-09,2008/07/09 03:30:00 PM Mountain,,,Operation,Employee / Contractor (Onsite),7/15/2015,Yes,No,Natural Gas - Sweet,800,No,No,,,,,,,,,,,0,OPR,Alliance - Alameda Compressor Station,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Rebuilt,7/9/2008,No,,,No,No,7/9/2008,Repair,No,-102.28983,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
29,INC2008-075,Release of Substance,7/23/2008,Edmonton,Enbridge Pipelines Inc.,Closed,53.5416,2,Diesel Fuel,Liquid,No,2008,2008-07-23,2008/07/23 08:30:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),8/1/2012,Yes,No,Diesel Fuel,2,No,No,,,,,,,,,,,0,OPR,EPI - Edmonton Terminal,,,,,,,,Canada,Yes,No,No,No,0,,Level I,Standard Review - 168 days,No,,"Storage, Tank, Aboveground",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Replacement,8/12/2008,No,,,No,No,8/12/2008,Replacement,No,-113.36454,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
30,INC2008-078,Release of Substance,7/31/2008,Hearst,TransCanada PipeLines Limited,Closed,49.79469,0,Natural Gas - Sweet,Gas,No,2008,2008-07-29,2008/07/29 11:00:00 AM Mountain,,,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,0,Mainline Valve + Offset (km) Station 84,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Pipe",,NPS 1/4,,,,,,,0,,,,0,,,,,,,,,,,,,,No,Replacement,,No,,,No,No,,Replacement,No,-85.85655,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
